airline,origin,destination,scheduled_dep_min,departure_hour,scheduled_duration,is_morning,is_afternoon,is_evening,is_night,operating_days_count,has_weekend_ops,has_peak_day_ops,route_delay_rate,airline_delay_rate,is_delayed,actual_dep_delay,route
Vistara,Goa,Delhi,865,14,160,0,1,0,0,7,1,1,0.2111801242236025,0.23657289002557544,0,15,Goa_to_Delhi
Vistara,Goa,Delhi,865,14,165,0,1,0,0,7,1,1,0.2111801242236025,0.23657289002557544,0,4,Goa_to_Delhi
Vistara,Goa,Delhi,865,14,165,0,1,0,0,7,1,1,0.2111801242236025,0.23657289002557544,0,0,Goa_to_Delhi
Vistara,Goa,Delhi,870,14,155,0,1,0,0,7,1,1,0.2111801242236025,0.23657289002557544,1,57,Goa_to_Delhi
Vistara,Goa,Delhi,625,10,150,1,0,0,0,1,1,0,0.2111801242236025,0.23657289002557544,0,8,Goa_to_Delhi
Vistara,Goa,Delhi,1315,21,165,0,0,1,0,7,1,1,0.2111801242236025,0.23657289002557544,0,6,Goa_to_Delhi
Vistara,Goa,Delhi,1345,22,155,0,0,0,1,7,1,1,0.2111801242236025,0.23657289002557544,0,10,Goa_to_Delhi
Vistara,Goa,Delhi,620,10,140,1,0,0,0,1,1,0,0.2111801242236025,0.23657289002557544,0,7,Goa_to_Delhi
Vistara,Goa,Mumbai,800,13,85,0,1,0,0,7,1,1,0.22043010752688172,0.23657289002557544,1,23,Goa_to_Mumbai
Vistara,Goa,Mumbai,800,13,85,0,1,0,0,7,1,1,0.22043010752688172,0.23657289002557544,0,9,Goa_to_Mumbai
Vistara,Goa,Mumbai,45,0,1420,0,0,0,1,7,1,1,0.22043010752688172,0.23657289002557544,1,85,Goa_to_Mumbai
Vistara,Goa,Mumbai,935,15,80,0,1,0,0,7,1,1,0.22043010752688172,0.23657289002557544,1,50,Goa_to_Mumbai
Vistara,Goa,Mumbai,515,8,85,1,0,0,0,1,1,0,0.22043010752688172,0.23657289002557544,0,6,Goa_to_Mumbai
Vistara,Goa,Bengaluru,880,14,75,0,1,0,0,7,1,1,0.3090909090909091,0.23657289002557544,0,6,Goa_to_Bengaluru
Vistara,Goa,Bengaluru,880,14,75,0,1,0,0,7,1,1,0.3090909090909091,0.23657289002557544,1,17,Goa_to_Bengaluru
IndiGo,Goa,Hyderabad,1385,23,75,0,0,0,1,7,1,1,0.2736842105263158,0.24817073170731707,0,6,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,990,16,60,0,1,0,0,6,1,1,0.2736842105263158,0.24817073170731707,0,11,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,870,14,85,0,1,0,0,1,0,0,0.2736842105263158,0.24817073170731707,1,49,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,880,14,85,0,1,0,0,6,1,1,0.2736842105263158,0.24817073170731707,0,3,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,885,14,80,0,1,0,0,1,0,0,0.2736842105263158,0.24817073170731707,0,10,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,480,8,85,1,0,0,0,6,1,1,0.2736842105263158,0.24817073170731707,0,5,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,50,0,75,0,0,0,1,1,1,0,0.2736842105263158,0.24817073170731707,1,40,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,635,10,80,1,0,0,0,1,1,0,0.2736842105263158,0.24817073170731707,0,6,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,870,14,75,0,1,0,0,7,1,1,0.2736842105263158,0.24817073170731707,0,8,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,405,6,80,1,0,0,0,1,0,1,0.2736842105263158,0.24817073170731707,0,4,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,440,7,75,1,0,0,0,6,1,1,0.2736842105263158,0.24817073170731707,0,3,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,455,7,75,1,0,0,0,6,1,1,0.2736842105263158,0.24817073170731707,0,1,Goa_to_Hyderabad
IndiGo,Goa,Hyderabad,465,7,70,1,0,0,0,6,1,1,0.2736842105263158,0.24817073170731707,0,6,Goa_to_Hyderabad
IndiGo,Goa,Delhi,790,13,150,0,1,0,0,7,1,1,0.2111801242236025,0.24817073170731707,0,1,Goa_to_Delhi
IndiGo,Goa,Delhi,665,11,150,1,0,0,0,1,1,0,0.2111801242236025,0.24817073170731707,1,46,Goa_to_Delhi
IndiGo,Goa,Delhi,1260,21,150,0,0,1,0,4,1,1,0.2111801242236025,0.24817073170731707,0,8,Goa_to_Delhi
IndiGo,Goa,Delhi,835,13,155,0,1,0,0,7,1,1,0.2111801242236025,0.24817073170731707,0,1,Goa_to_Delhi
IndiGo,Goa,Delhi,1270,21,160,0,0,1,0,7,1,1,0.2111801242236025,0.24817073170731707,0,9,Goa_to_Delhi
IndiGo,Goa,Delhi,1040,17,160,0,1,0,0,7,1,1,0.2111801242236025,0.24817073170731707,1,57,Goa_to_Delhi
IndiGo,Goa,Delhi,920,15,160,0,1,0,0,7,1,1,0.2111801242236025,0.24817073170731707,0,2,Goa_to_Delhi
IndiGo,Goa,Delhi,905,15,155,0,1,0,0,7,1,1,0.2111801242236025,0.24817073170731707,1,44,Goa_to_Delhi
IndiGo,Goa,Delhi,50,0,160,0,0,0,1,7,1,1,0.2111801242236025,0.24817073170731707,0,9,Goa_to_Delhi
IndiGo,Goa,Delhi,1255,20,150,0,0,1,0,7,1,1,0.2111801242236025,0.24817073170731707,0,2,Goa_to_Delhi
IndiGo,Goa,Aurangabad,845,14,120,0,1,0,0,3,0,1,0.5,0.24817073170731707,0,8,Goa_to_Aurangabad
IndiGo,Goa,Lucknow,1105,18,140,0,0,1,0,7,1,1,0.0,0.24817073170731707,0,10,Goa_to_Lucknow
IndiGo,Goa,Lucknow,1105,18,145,0,0,1,0,7,1,1,0.0,0.24817073170731707,0,14,Goa_to_Lucknow
IndiGo,Goa,Mumbai,405,6,90,1,0,0,0,7,1,1,0.22043010752688172,0.24817073170731707,0,10,Goa_to_Mumbai
IndiGo,Goa,Mumbai,550,9,65,1,0,0,0,7,1,1,0.22043010752688172,0.24817073170731707,0,10,Goa_to_Mumbai
IndiGo,Goa,Mumbai,1025,17,90,0,1,0,0,7,1,1,0.22043010752688172,0.24817073170731707,0,2,Goa_to_Mumbai
IndiGo,Goa,Mumbai,1025,17,90,0,1,0,0,7,1,1,0.22043010752688172,0.24817073170731707,0,4,Goa_to_Mumbai
IndiGo,Goa,Mumbai,1085,18,90,0,0,1,0,7,1,1,0.22043010752688172,0.24817073170731707,1,134,Goa_to_Mumbai
IndiGo,Goa,Mumbai,1110,18,80,0,0,1,0,7,1,1,0.22043010752688172,0.24817073170731707,0,14,Goa_to_Mumbai
IndiGo,Goa,Mumbai,415,6,75,1,0,0,0,7,1,1,0.22043010752688172,0.24817073170731707,0,6,Goa_to_Mumbai
IndiGo,Goa,Mumbai,885,14,80,0,1,0,0,6,1,1,0.22043010752688172,0.24817073170731707,1,23,Goa_to_Mumbai
IndiGo,Goa,Kannur International Airport,660,11,750,1,0,0,0,7,1,1,0.3333333333333333,0.24817073170731707,0,15,Goa_to_Kannur International Airport
IndiGo,Goa,Ahmedabad,705,11,90,1,0,0,0,1,1,0,0.2222222222222222,0.24817073170731707,0,13,Goa_to_Ahmedabad
IndiGo,Goa,Ahmedabad,710,11,100,1,0,0,0,1,1,0,0.2222222222222222,0.24817073170731707,0,0,Goa_to_Ahmedabad
IndiGo,Goa,Ahmedabad,225,3,110,0,0,0,1,7,1,1,0.2222222222222222,0.24817073170731707,0,14,Goa_to_Ahmedabad
IndiGo,Goa,Ahmedabad,130,2,105,0,0,0,1,7,1,1,0.2222222222222222,0.24817073170731707,1,62,Goa_to_Ahmedabad
IndiGo,Goa,Bengaluru,385,6,75,1,0,0,0,1,0,1,0.3090909090909091,0.24817073170731707,1,34,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,485,8,80,1,0,0,0,6,1,1,0.3090909090909091,0.24817073170731707,0,1,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,875,14,75,0,1,0,0,1,0,0,0.3090909090909091,0.24817073170731707,1,41,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,495,8,65,1,0,0,0,6,1,1,0.3090909090909091,0.24817073170731707,1,21,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,1410,23,65,0,0,0,1,7,1,1,0.3090909090909091,0.24817073170731707,0,13,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,125,2,75,0,0,0,1,7,1,1,0.3090909090909091,0.24817073170731707,1,22,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,1305,21,80,0,0,1,0,7,1,1,0.3090909090909091,0.24817073170731707,0,13,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,1385,23,115,0,0,0,1,7,1,1,0.3090909090909091,0.24817073170731707,1,25,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,910,15,75,0,1,0,0,7,1,1,0.3090909090909091,0.24817073170731707,1,50,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,1035,17,60,0,1,0,0,7,1,1,0.3090909090909091,0.24817073170731707,0,9,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,1040,17,65,0,1,0,0,7,1,1,0.3090909090909091,0.24817073170731707,0,11,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,1400,23,85,0,0,0,1,7,1,1,0.3090909090909091,0.24817073170731707,0,15,Goa_to_Bengaluru
IndiGo,Goa,Bengaluru,495,8,85,1,0,0,0,6,1,1,0.3090909090909091,0.24817073170731707,0,11,Goa_to_Bengaluru
IndiGo,Goa,Ranchi,910,15,75,0,1,0,0,7,1,1,1.0,0.24817073170731707,1,26,Goa_to_Ranchi
IndiGo,Goa,Indore,780,13,105,0,1,0,0,7,1,1,0.11764705882352941,0.24817073170731707,1,22,Goa_to_Indore
IndiGo,Goa,Indore,885,14,105,0,1,0,0,7,1,1,0.11764705882352941,0.24817073170731707,0,2,Goa_to_Indore
IndiGo,Goa,Raipur,445,7,110,1,0,0,0,1,0,1,0.0,0.24817073170731707,0,0,Goa_to_Raipur
IndiGo,Goa,Raipur,445,7,115,1,0,0,0,1,0,1,0.0,0.24817073170731707,0,2,Goa_to_Raipur
IndiGo,Goa,Raipur,480,8,110,1,0,0,0,6,1,1,0.0,0.24817073170731707,0,3,Goa_to_Raipur
IndiGo,Goa,Chandigarh,880,14,175,0,1,0,0,7,1,1,0.3,0.24817073170731707,0,10,Goa_to_Chandigarh
IndiGo,Goa,Chandigarh,745,12,170,0,1,0,0,1,1,0,0.3,0.24817073170731707,0,12,Goa_to_Chandigarh
IndiGo,Goa,Chandigarh,1080,18,165,0,0,1,0,7,1,1,0.3,0.24817073170731707,1,126,Goa_to_Chandigarh
IndiGo,Goa,Chandigarh,1405,23,170,0,0,0,1,7,1,1,0.3,0.24817073170731707,0,13,Goa_to_Chandigarh
IndiGo,Goa,Pune,130,2,60,0,0,0,1,7,1,1,0.2,0.24817073170731707,0,13,Goa_to_Pune
IndiGo,Goa,Pune,235,3,70,0,0,0,1,7,1,1,0.2,0.24817073170731707,0,7,Goa_to_Pune
IndiGo,Goa,Chennai,925,15,90,0,1,0,0,1,1,0,0.4,0.24817073170731707,0,2,Goa_to_Chennai
IndiGo,Goa,Chennai,470,7,90,1,0,0,0,6,1,1,0.4,0.24817073170731707,1,98,Goa_to_Chennai
IndiGo,Goa,Surat,1025,17,75,0,1,0,0,7,1,1,0.2608695652173913,0.24817073170731707,1,127,Goa_to_Surat
IndiGo,Goa,Surat,1030,17,80,0,1,0,0,7,1,1,0.2608695652173913,0.24817073170731707,0,8,Goa_to_Surat
IndiGo,Goa,Surat,1035,17,100,0,1,0,0,7,1,1,0.2608695652173913,0.24817073170731707,0,10,Goa_to_Surat
IndiGo,Goa,Surat,805,13,75,0,1,0,0,1,0,1,0.2608695652173913,0.24817073170731707,0,8,Goa_to_Surat
IndiGo,Goa,Coimbatore,60,1,80,0,0,0,1,7,1,1,0.0,0.24817073170731707,0,5,Goa_to_Coimbatore
IndiGo,Goa,Coimbatore,1145,19,115,0,0,1,0,7,1,1,0.0,0.24817073170731707,0,9,Goa_to_Coimbatore
IndiGo,Goa,Kolkata,900,15,170,0,1,0,0,7,1,1,0.18181818181818182,0.24817073170731707,0,3,Goa_to_Kolkata
TruJet,Goa,Hyderabad,775,12,105,0,1,0,0,7,1,1,0.2736842105263158,0.24834437086092714,0,9,Goa_to_Hyderabad
SpiceJet,Goa,Hyderabad,895,14,100,0,1,0,0,7,1,1,0.2736842105263158,0.25663466967814796,0,4,Goa_to_Hyderabad
SpiceJet,Goa,Delhi,1310,21,160,0,0,1,0,7,1,1,0.2111801242236025,0.25663466967814796,0,12,Goa_to_Delhi
SpiceJet,Goa,Delhi,725,12,155,0,1,0,0,1,0,1,0.2111801242236025,0.25663466967814796,1,109,Goa_to_Delhi
SpiceJet,Goa,Delhi,745,12,175,0,1,0,0,1,0,1,0.2111801242236025,0.25663466967814796,0,0,Goa_to_Delhi
SpiceJet,Goa,Delhi,800,13,155,0,1,0,0,1,0,1,0.2111801242236025,0.25663466967814796,0,6,Goa_to_Delhi
SpiceJet,Goa,Delhi,1185,19,155,0,0,1,0,7,1,1,0.2111801242236025,0.25663466967814796,0,14,Goa_to_Delhi
SpiceJet,Goa,Nasik,1070,17,1430,0,1,0,0,7,1,1,1.0,0.25663466967814796,1,103,Goa_to_Nasik
SpiceJet,Goa,Mumbai,1025,17,75,0,1,0,0,7,1,1,0.22043010752688172,0.25663466967814796,0,6,Goa_to_Mumbai
SpiceJet,Goa,Mumbai,1055,17,75,0,1,0,0,7,1,1,0.22043010752688172,0.25663466967814796,0,9,Goa_to_Mumbai
SpiceJet,Goa,Mumbai,1055,17,80,0,1,0,0,7,1,1,0.22043010752688172,0.25663466967814796,1,30,Goa_to_Mumbai
SpiceJet,Goa,Mumbai,320,5,85,0,0,0,1,7,1,1,0.22043010752688172,0.25663466967814796,0,13,Goa_to_Mumbai
SpiceJet,Goa,Ahmedabad,460,7,85,1,0,0,0,6,1,1,0.2222222222222222,0.25663466967814796,0,0,Goa_to_Ahmedabad
SpiceJet,Goa,Ahmedabad,1020,17,105,0,1,0,0,6,1,1,0.2222222222222222,0.25663466967814796,0,14,Goa_to_Ahmedabad
SpiceJet,Goa,Pune,840,14,70,0,1,0,0,6,1,1,0.2,0.25663466967814796,0,13,Goa_to_Pune
SpiceJet,Goa,Surat,1085,18,110,0,0,1,0,7,1,1,0.2608695652173913,0.25663466967814796,0,8,Goa_to_Surat
SpiceJet,Goa,Surat,1145,19,105,0,0,1,0,7,1,1,0.2608695652173913,0.25663466967814796,0,6,Goa_to_Surat
,Goa,Delhi,460,7,160,1,0,0,0,6,1,1,0.2111801242236025,,0,3,Goa_to_Delhi
,Goa,Bengaluru,360,6,75,1,0,0,0,7,1,1,0.3090909090909091,,1,34,Goa_to_Bengaluru
GoAir,Goa,Hyderabad,1330,22,75,0,0,0,1,7,1,1,0.2736842105263158,0.2296103896103896,0,11,Goa_to_Hyderabad
GoAir,Goa,Delhi,1045,17,165,0,1,0,0,7,1,1,0.2111801242236025,0.2296103896103896,0,4,Goa_to_Delhi
GoAir,Goa,Delhi,1045,17,165,0,1,0,0,7,1,1,0.2111801242236025,0.2296103896103896,0,2,Goa_to_Delhi
GoAir,Goa,Delhi,720,12,165,0,1,0,0,1,1,0,0.2111801242236025,0.2296103896103896,0,1,Goa_to_Delhi
GoAir,Goa,Mumbai,1025,17,80,0,1,0,0,7,1,1,0.22043010752688172,0.2296103896103896,0,8,Goa_to_Mumbai
GoAir,Goa,Mumbai,710,11,80,1,0,0,0,1,1,0,0.22043010752688172,0.2296103896103896,0,3,Goa_to_Mumbai
GoAir,Goa,Mumbai,795,13,85,0,1,0,0,7,1,1,0.22043010752688172,0.2296103896103896,0,6,Goa_to_Mumbai
GoAir,Goa,Mumbai,1110,18,95,0,0,1,0,5,1,1,0.22043010752688172,0.2296103896103896,0,0,Goa_to_Mumbai
GoAir,Goa,Mumbai,380,6,80,1,0,0,0,1,1,0,0.22043010752688172,0.2296103896103896,0,15,Goa_to_Mumbai
GoAir,Goa,Ahmedabad,1230,20,125,0,0,1,0,7,1,1,0.2222222222222222,0.2296103896103896,0,8,Goa_to_Ahmedabad
Air India,Goa,Delhi,845,14,150,0,1,0,0,7,1,1,0.2111801242236025,0.22491664140648682,0,11,Goa_to_Delhi
Air India,Goa,Delhi,845,14,165,0,1,0,0,7,1,1,0.2111801242236025,0.22491664140648682,0,8,Goa_to_Delhi
Air India,Goa,Delhi,855,14,150,0,1,0,0,7,1,1,0.2111801242236025,0.22491664140648682,1,140,Goa_to_Delhi
Air India,Goa,Mumbai,920,15,75,0,1,0,0,7,1,1,0.22043010752688172,0.22491664140648682,0,5,Goa_to_Mumbai
Air India,Goa,Mumbai,410,6,75,1,0,0,0,7,1,1,0.22043010752688172,0.22491664140648682,0,5,Goa_to_Mumbai
Air India,Goa,Mumbai,410,6,80,1,0,0,0,7,1,1,0.22043010752688172,0.22491664140648682,0,13,Goa_to_Mumbai
Air India,Goa,Mumbai,420,7,70,1,0,0,0,7,1,1,0.22043010752688172,0.22491664140648682,1,117,Goa_to_Mumbai
Air India,Goa,Mumbai,445,7,80,1,0,0,0,7,1,1,0.22043010752688172,0.22491664140648682,1,30,Goa_to_Mumbai
Air India Express,Goa,Hyderabad,1105,18,75,0,0,1,0,1,0,0,0.2736842105263158,0.2222222222222222,0,4,Goa_to_Hyderabad
Air India Express,Goa,Hyderabad,1125,18,80,0,0,1,0,1,0,0,0.2736842105263158,0.2222222222222222,0,10,Goa_to_Hyderabad
Air India Express,Goa,Hyderabad,1080,18,75,0,0,1,0,7,1,1,0.2736842105263158,0.2222222222222222,1,47,Goa_to_Hyderabad
Air India Express,Goa,Hyderabad,1205,20,80,0,0,1,0,7,1,1,0.2736842105263158,0.2222222222222222,0,3,Goa_to_Hyderabad
Air India Express,Goa,Delhi,490,8,155,1,0,0,0,6,1,1,0.2111801242236025,0.2222222222222222,0,9,Goa_to_Delhi
Air India Express,Goa,Delhi,1090,18,155,0,0,1,0,7,1,1,0.2111801242236025,0.2222222222222222,0,0,Goa_to_Delhi
Air India Express,Goa,Delhi,1380,23,160,0,0,0,1,7,1,1,0.2111801242236025,0.2222222222222222,0,4,Goa_to_Delhi
Air India Express,Goa,Delhi,1380,23,160,0,0,0,1,7,1,1,0.2111801242236025,0.2222222222222222,1,57,Goa_to_Delhi
Air India Express,Goa,Delhi,900,15,165,0,1,0,0,7,1,1,0.2111801242236025,0.2222222222222222,1,118,Goa_to_Delhi
Air India Express,Goa,Delhi,915,15,165,0,1,0,0,7,1,1,0.2111801242236025,0.2222222222222222,0,7,Goa_to_Delhi
Air India Express,Goa,Delhi,930,15,160,0,1,0,0,7,1,1,0.2111801242236025,0.2222222222222222,0,15,Goa_to_Delhi
Air India Express,Goa,Delhi,500,8,140,1,0,0,0,7,1,1,0.2111801242236025,0.2222222222222222,0,0,Goa_to_Delhi
Air India Express,Goa,Delhi,500,8,155,1,0,0,0,6,1,1,0.2111801242236025,0.2222222222222222,0,7,Goa_to_Delhi
Air India Express,Goa,Delhi,500,8,165,1,0,0,0,7,1,1,0.2111801242236025,0.2222222222222222,1,41,Goa_to_Delhi
